Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_T,Rotation.R270,False,1,3,1
Piece.STRAIGHT_STATION,Rotation.I,False,0,3,1
Piece.HIGHWAY_CORNER,Rotation.R180,False,2,2,1
Piece.HIGHWAY_CORNER,Rotation.I,False,2,3,1
Piece.RAILWAY_CORNER,Rotation.R270,False,3,3,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,2,2
Piece.HIGHWAY_T,Rotation.R90,False,4,2,2
Piece.CORNER_STATION,Rotation.I,False,4,3,2
Piece.HIGHWAY_CORNER,Rotation.R90,False,6,2,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2,3
Piece.CORNER_STATION,Rotation.R270,True,6,3,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,2,3
Piece.RAILWAY_CORNER,Rotation.R180,False,1,6,4
Piece.CORNER_STATION,Rotation.R90,True,3,6,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,1,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,6,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,3,0,5
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0,5
Piece.RAILWAY_CORNER,Rotation.I,False,5,0,5
Piece.CORNER_JUNCTION,Rotation.R180,False,1,0,5
Piece.STRAIGHT_STATION,Rotation.R180,False,2,0,5
Piece.THREE_H_JUNCTION,Rotation.I,False,0,0,6
Piece.HIGHWAY_CORNER,Rotation.I,False,0,1,6
